"ID","age","momID","dadID","pheno","HvsW","sex","gen","alive","gendead","yearSpawned","fate","L1m","L2m","L3m","L4m","L5m","L1d","L2d","L3d","L4d","L5d"
   1,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,10,12,15,16,  50,11,12,14,16
   2,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,12,14,17,  50,10,12,15,16
   3,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,10,12,15,17,  50,10,12,15,17
   4,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,11,13,15,17,  50,10,12,15,17
   5,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,12,15,17,  50,10,13,14,16
   6,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,10,13,15,16,  50,10,12,15,17
   7,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,10,13,15,16,  50,10,12,15,16
   8,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,11,12,14,16,  50,10,13,15,16
   9,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,13,15,16,  50,11,13,14,16
  10,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,13,14,16,  50,10,12,15,17
  11,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,11,13,15,17,  50,11,13,14,16
  12,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,10,12,15,17,  50,10,13,15,16
  13,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,11,12,15,17,  50,11,12,14,16
  14,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,13,14,16,  50,10,13,14,17
  15,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,11,13,14,16,  50,10,13,14,16
  16,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,13,14,16,  50,11,13,14,16
  17,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,12,14,16,  50,10,12,15,16
  18,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,11,13,15,16,  50,10,13,15,16
  19,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,10,13,15,17,  50,10,12,15,17
  20,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,10,12,15,17,  50,11,13,15,17
  21,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,10,12,14,17,  50,10,13,14,17
  22,1,0,0,  100,1,0,0,0,1,1,wildSpawn,  50,11,13,14,17,  50,10,12,15,16
  23,1,0,0,  100,1,1,0,0,1,1,wildSpawn,  50,10,12,14,17,  50,11,13,14,16
